Model,F1_Weighted,F1_Macro
XGBoost (Optimized),0.7892953929539296,0.7152777777777778
Random Forest,0.7478363493312353,0.6693548387096775
Ensemble,0.7275185164029626,0.6479313036690086
Gradient Boosting,0.6585365853658537,0.5651515151515152
