Model,F1_Weighted,F1_Macro
Random Forest,0.7025714601037413,0.5918552036199095
Gradient Boosting,0.6839430894308943,0.5729166666666666
XGBoost (Optimized),0.6761119081779052,0.6482843137254902
Ensemble,0.6484935437589671,0.5176470588235295
